trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
5,1147.9706764221191,117.23985156249994,118.39734812930963,117.93994969180964,448,1.8038302788115328,0.0026305994900965,5.833423250416487,5.1533833,1.7588943,-7.1149287,2.2229044,-0.73007214,-0.26955336,-1.2008708,-12.473542,6.638351,-18.805613,-33.973373,13.407896,1753149350.0108051
5,1169.0382957458496,117.23985156249994,118.49404305648052,118.04668048366153,449,1.7920221015490647,6.560098437802253e-06,6.178484430419712,5.1533833,1.7588943,-7.1149287,2.1867967,-0.820767,-0.23526111,-2.6745915,-14.2837715,6.938404,-29.034878,-44.363644,13.574795,1753149350.0318727
5,1190.4900074005127,117.23985156249994,118.55063792300591,118.15300391058246,450,1.780213924286597,0.0026305994900965,6.6101389103477,5.1533833,1.7588943,-7.1149287,2.1579106,-0.8933228,-0.20782731,-3.4862385,-14.809303,6.829587,-30.795103,-40.39059,9.8453045,1753149350.0533245
5,1211.9896411895752,117.23985156249994,118.56242208317661,118.25925741251551,451,1.771029786415789,0.0013185797942689,6.906655361605223,5.1533833,1.7588943,-7.1149287,2.1113284,-0.9786228,-0.17403421,-4.9556646,-15.814994,7.0354867,-38.30555,-41.668,9.791644,1753149350.074824
5,1232.8834533691406,117.23985156249994,118.56392578124994,118.3662538368105,452,1.7670937273282996,6.560098437802253e-06,7.060161666017304,5.1533833,1.7588943,-7.1149287,2.0501611,-1.068867,-0.13591059,-6.8919964,-16.971079,7.452985,-49.178993,-44.40044,11.829604,1753149350.095718
5,1254.296064376831,117.23985156249994,118.56392578124994,118.47180742840092,453,1.771029786415789,6.560098437802253e-06,7.085090040238069,5.1533833,1.7588943,-7.1149287,2.0012274,-1.1410624,-0.105411686,-7.7989035,-16.948528,7.386747,-47.814068,-35.30972,8.844995,1753149350.1171305
5,1275.5119800567627,117.23985156249994,118.56392578124994,118.57589146356278,454,1.771029786415789,6.560098437802253e-06,7.08377802054224,5.1533833,1.7588943,-7.1149287,1.9366386,-1.217635,-0.07140478,-9.283481,-17.168028,7.512294,-52.246193,-30.316973,8.259512,1753149350.1383464
5,1297.20139503479,117.23985156249994,118.56392578124994,118.6727236390672,455,1.769717766719959,6.560098437802253e-06,7.108706394763005,5.1533833,1.7588943,-7.1149287,1.8849676,-1.2788931,-0.044199243,-9.809102,-16.558754,7.2641582,-46.643757,-18.63541,4.3195295,1753149350.1600358
5,1318.0508613586426,117.23985156249994,118.56094921874994,118.72126319600635,456,1.7631576682408103,6.560098437802253e-06,7.096898217500537,5.1533833,1.7588943,-7.1149287,1.8378562,-1.3313271,-0.020718109,-10.106878,-15.761885,6.9375486,-40.171448,-7.2643027,0.3225975,1753149350.1808853
5,1338.989496231079,117.23985156249994,118.56094921874994,118.73210156249996,457,1.7631576682408103,0.0026305994900965,7.047041469059007,5.1533833,1.7588943,-7.1149287,1.8133465,-1.3642751,-0.0034872144,-9.256051,-14.183058,6.3729625,-24.010292,9.269073,-5.1346917,1753149350.201824
5,1359.9426746368408,117.23985156249994,118.56094921874994,118.73210156249996,458,1.76446968793664,6.560098437802253e-06,6.998496740313306,5.1533833,1.7588943,-7.1149287,1.7937388,-1.3906335,0.010297501,-8.340631,-12.604412,5.756252,-10.470462,22.483574,-9.994313,1753149350.2227771
5,1380.8929920196533,117.23985156249994,118.56094921874994,118.73210156249996,459,1.7684057470241292,6.560098437802253e-06,6.997184720617476,5.1533833,1.7588943,-7.1149287,1.7738912,-1.4144013,0.023133727,-7.6198735,-11.218013,5.2177,-1.495738,31.221975,-13.136679,1753149350.2437274
5,1402.3895263671875,117.23985156249994,118.56094921874994,118.73210156249996,460,1.7605336288491509,0.0013185797942689,7.006368858488284,5.1533833,1.7588943,-7.1149287,1.7562106,-1.4355307,0.0316736,-6.9183893,-9.957329,4.5714273,5.329896,36.706764,-16.522152,1753149350.265224
5,1424.8125553131104,117.23985156249994,118.56094921874994,118.73210156249996,461,1.759221609153321,0.0052546388817589,6.97881644487586,5.1533833,1.7588943,-7.1149287,1.742066,-1.4524341,0.0385055,-6.1655164,-8.7197075,3.9618242,10.979094,40.40425,-18.655018,1753149350.287647
5,1445.7950592041016,117.23985156249994,118.56094921874994,118.73210156249996,462,1.7605336288491509,-0.0026174792932209,6.946015952480116,5.1533833,1.7588943,-7.1149287,1.7370946,-1.461264,0.044597868,-5.1693454,-7.3965917,3.459814,18.278528,44.935013,-19.70905,1753149350.3086295
5,1466.6686058044434,117.23985156249994,118.56094921874994,118.73210156249996,463,1.7657817076324698,0.0026305994900965,6.9355197949134775,5.1533833,1.7588943,-7.1149287,1.7302334,-1.4701573,0.050214197,-4.4641824,-6.3433237,3.0369158,21.379345,46.0399,-19.819242,1753149350.329503
5,1487.462043762207,117.23985156249994,118.56094921874994,118.73210156249996,464,1.7631576682408103,0.0013185797942689,6.940767873696797,5.1533833,1.7588943,-7.1149287,1.7247444,-1.4772719,0.054707263,-3.8353274,-5.4168153,2.645616,23.152136,45.74357,-19.619122,1753149350.3502965
5,1508.7049007415771,117.23985156249994,118.56094921874994,118.73210156249996,465,1.7565975697616616,6.560098437802253e-06,6.932895755521819,5.1533833,1.7588943,-7.1149287,1.7212554,-1.4825747,0.056354694,-3.2325053,-4.583075,2.1940444,24.197174,44.444374,-19.946766,1753149350.3715394
5,1529.7253131866455,117.23985156249994,118.56094921874994,118.73210156249996,466,1.7605336288491509,6.560098437802253e-06,6.907967381301053,5.1533833,1.7588943,-7.1149287,1.7209133,-1.484917,0.059483096,-2.6022837,-3.7778885,1.9040623,25.354023,43.216496,-18.716465,1753149350.3925598
5,1550.6024360656738,117.23985156249994,118.56094921874994,118.73210156249996,467,1.7618456485449805,0.0026305994900965,6.890911125255267,5.1533833,1.7588943,-7.1149287,1.7206396,-1.4867909,0.061985817,-2.0949407,-3.1120648,1.6431284,25.143496,40.9517,-17.472883,1753149350.413437
5,1573.739767074585,117.23985156249994,118.56094921874994,118.73210156249996,468,1.7579095894574912,0.0013185797942689,6.892223144951096,5.1533833,1.7588943,-7.1149287,1.7204206,-1.48829,0.06398799,-1.6854193,-2.5544405,1.4010371,23.654716,37.581486,-16.070953,1753149350.4365742
5,1595.6027507781982,117.23985156249994,118.56094921874994,118.73210156249996,469,1.7565975697616616,0.0026305994900965,6.883039007080288,5.1533833,1.7588943,-7.1149287,1.7179621,-1.4908131,0.06411573,-1.4607826,-2.158958,1.1266725,20.978722,33.683018,-15.366618,1753149350.4584372
5,1616.9257164001465,117.23985156249994,118.56094921874994,118.73210156249996,470,1.7565975697616616,0.0026305994900965,6.86991881012199,5.1533833,1.7588943,-7.1149287,1.7179744,-1.4918272,0.06438577,-1.1680526,-1.7747262,0.91400224,19.528656,30.550339,-14.288048,1753149350.4797602
5,1638.2668018341064,117.23985156249994,118.56094921874994,118.73210156249996,471,1.7565975697616616,0.0013185797942689,6.859422652555352,5.1533833,1.7588943,-7.1149287,1.7179842,-1.4926386,0.0646018,-0.933984,-1.4577965,0.7413246,17.81652,27.410408,-13.048703,1753149350.5011013
