trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
213,553.6401271820068,118.85612499999992,117.98944921874994,118.79907421874994,15332,5.146403816990675,8.065752601787537,7.908106875235113,5.3778896,1.2021244,-8.421604,1.6725084,0.2136292,1.2720867,0.022972597,0.062346302,-0.027528986,0.40554726,-0.8598429,0.1342145,1756803918.7769165
213,574.146032333374,118.85612499999992,117.98944921874994,118.79907421874994,15333,5.046690320107614,7.710195264217675,7.855626087401923,5.3778896,1.2021244,-8.421604,1.6727474,0.21387303,1.2717283,0.03003151,0.061766934,-0.03950624,0.39328465,-0.693525,-0.009444654,1756803918.7974224
213,594.6357250213623,118.85612499999992,117.98944921874994,118.79907421874994,15334,4.647836332575371,7.2129397994982,7.566981754319378,5.3778896,1.2021244,-8.421604,1.6736276,0.2149802,1.2698996,0.06698359,0.10344955,-0.12085667,0.67532134,-0.14795098,-0.801627,1756803918.817912
213,615.2269840240479,118.85795109731697,117.98944921874994,118.77279345581302,15335,4.170261163293341,6.680259802991321,7.143199392566369,5.3778896,1.2021244,-8.421604,1.6830095,0.23443484,1.2386453,0.509203,1.0275491,-1.6145127,4.8354225,8.857184,-15.148804,1756803918.8385034
213,635.7104778289795,118.8437292679883,117.97748437715688,118.70178786389526,15336,3.604780674390719,6.167260101921888,6.586903041534554,5.3778896,1.2021244,-8.421604,1.6932487,0.2529027,1.2189255,0.90723556,1.7236363,-2.2543287,7.7547116,13.882314,-18.36618,1756803918.8589869
213,656.1927795410156,118.77915274214736,117.91887836128468,118.59145594131941,15337,3.0301160476172884,5.73691764168973,5.9151489572697225,5.3778896,1.2021244,-8.421604,1.7081273,0.29649866,1.1523712,1.4521943,3.507378,-5.0528173,11.525034,28.523247,-42.018864,1756803918.8794692
213,676.7621040344238,118.67474268701665,117.81635846187169,118.43732579922668,15338,2.519740385939515,5.364304048074081,5.255203050267357,5.3778896,1.2021244,-8.421604,1.7204578,0.33105177,1.0986849,1.7612152,4.4857388,-6.6522713,12.224704,32.33141,-49.16693,1756803918.9000385
213,697.2782611846924,118.52955295219267,117.67122880184644,118.24380295219267,15339,2.001492606086764,5.099276069516471,4.624121576573248,5.3778896,1.2021244,-8.421604,1.7302186,0.3635079,1.0471615,1.8847342,5.17057,-7.8331757,10.983877,32.541145,-50.84549,1756803918.9205546
213,717.8025245666504,118.34056057898694,117.48633612465107,118.04161824250212,15340,1.4005875853967378,5.020554887766687,3.783116951546378,5.3778896,1.2021244,-8.421604,1.7410196,0.3741315,0.9830125,2.034037,4.6540675,-9.392059,10.241994,20.999826,-55.867035,1756803918.941079
213,738.3148670196533,118.13627418053144,117.28153213234984,117.83661041988798,15341,0.9098922191564112,5.097964049820641,3.131043162718992,5.3778896,1.2021244,-8.421604,1.7427316,0.31359535,0.9482395,1.7106899,0.7720475,-9.208872,5.040886,-21.050716,-42.90751,1756803918.9615912
213,758.8286399841309,117.96823013822728,117.07655809796597,117.62891598327451,15342,0.6278079845530148,5.181933310353745,2.635099717695346,5.3778896,1.2021244,-8.421604,1.7293562,0.21547776,0.9950763,0.71652794,-4.165372,-5.0839086,-5.659921,-64.97818,5.890518,1756803918.982105
