volume_1,volume_2,volume_3
2.611368168,2.297626218,2.879015735
2.520432273,2.388813865,2.874106346
2.432718269,2.479988471,2.852445532
2.351601372,2.568107989,2.815417737
2.278894159,2.649498568,2.763931927
2.214833927,2.720028893,2.698333887
2.158423195,2.775473478,2.618558831
2.108019334,2.81200123,2.524490558
2.062005264,2.826683854,2.416425973
2.019373956,2.817919032,2.295517368
1.980108018,2.785693409,2.164080833
1.945299212,2.731646614,2.025699982
1.917005986,2.658923236,1.885099214
1.897886499,2.571818728,1.747801776
1.890682599,2.475254457,1.61962929
1.897671546,2.374165127,1.506142694
1.92022829,2.272930528,1.41215341
2.179786058,2.572268399,1.533563574
2.219342229,2.477766799,1.461128389
2.272809561,2.389195308,1.410596166
2.338993403,2.307346689,1.383107074
2.416416835,2.232588472,1.379337136
2.503615565,2.165245152,1.399703401
2.599296056,2.105914467,1.444443536
2.702281193,2.055600069,1.513503335
2.811240843,2.015600456,1.606239946
2.924292583,1.987183957,1.721034963
3.03862768,1.971169526,1.854972847
3.150337485,1.967584337,2.003744101
3.254567803,1.975553144,2.161868979
3.346019571,1.993487499,2.32322569
3.419678965,2.019515537,2.481750347
3.47155829,2.051983854,2.632106124
3.499217117,2.089830898,2.770132037
3.501926352,2.13269719,2.892975034
3.480491661,2.180765947,2.998938088
3.436885358,2.234447026,3.087178366
3.373878366,2.29406503,3.157416539
3.294801003,2.359671777,3.209765918
3.203439642,2.431008737,3.244695089
3.103973669,2.507557626,3.263055752
3.000832355,2.588584987,3.266079572
2.898408196,2.673116234,3.255278089
2.800655672,2.759835698,3.232239947
2.7106749,2.846961363,3.198373747
2.630397528,2.93216258,3.154671209
2.560461637,3.01257588,3.10156157
2.500306332,3.084941332,3.038902489
2.448459093,3.145845468,2.966116061
2.402946657,3.192028919,2.882441912
2.361742406,3.22070517,2.787253377
2.323170573,3.229842069,2.680374065
2.286212287,3.218374191,2.562340448
2.250687445,3.186331777,2.434574096
2.217307608,3.13488148,2.299444972
2.187603793,3.06627305,2.160218597
2.16373508,2.983680888,2.020886522
2.148191149,2.890932807,1.885889635
2.143422484,2.792139207,1.759763653
2.151460583,2.69127032,1.646762268
2.173610092,2.591760611,1.550532118
2.500143164,2.924479672,1.707100021
2.542260397,2.834329647,1.634415912
2.597672044,2.750621179,1.580994225
2.665324536,2.673670826,1.547557412
2.743849632,2.603302848,1.534442958
2.831846347,2.539174753,1.541832139
2.928108049,2.481107479,1.569926546
3.031722486,2.429330922,1.619002374
3.142000248,2.384569817,1.689300844
3.258233854,2.34793489,1.780762051
3.379343759,2.320641136,1.89266598
3.503512432,2.303632064,2.023288162
3.627927724,2.297226572,2.169690054
