volume_1,volume_2,volume_3
-2.28965736,-2.336641584,-1.724124391
-2.310689899,-2.266092433,-1.694185446
-2.306611137,-2.187945563,-1.653519351
-2.283174523,-2.110606113,-1.61220091
-2.245445986,-2.041091874,-1.577712786
-2.197217965,-1.985026166,-1.554910722
-2.140456499,-1.946236207,-1.545627323
-2.056787553,-1.771055399,-1.443705823
-1.991384971,-1.765434291,-1.459464653
-1.915878952,-1.772494518,-1.47719869
-1.824784067,-1.784782412,-1.485044398
-1.715467001,-1.795025951,-1.470552498
-1.591356762,-1.799209818,-1.424868516
-1.461028863,-1.796577342,-1.345579658
-1.334496146,-1.788013745,-1.238049234
-1.223956724,-1.779203998,-1.117956394
-1.144297997,-1.782242738,-1.008231481
-1.09973337,-1.80093485,-0.92034494
-1.07882089,-1.825218277,-0.84854185
-1.072350735,-1.849411736,-0.78969582
-1.080603318,-1.876413795,-0.748688283
-1.106598153,-1.909242829,-0.730138477
-1.151121791,-1.948277433,-0.735472915
-1.211843216,-1.992684366,-0.764461811
-1.284499691,-2.04200083,-0.817133103
-1.365311874,-2.096651075,-0.894428941
-1.454167931,-2.157266073,-0.997058727
-1.556852016,-2.224810921,-1.124719648
-1.680171814,-2.298907958,-1.273562095
-1.820706306,-2.370884592,-1.42823629
-1.964410789,-2.426091117,-1.565240979
-2.096188108,-2.454208674,-1.667108063
-2.205172178,-2.45192374,-1.727355923
-2.285700465,-2.420885992,-1.747933093
-2.336857144,-2.36602304,-1.736063629
-2.361126719,-2.294080213,-1.701424263
-2.362737359,-2.212104162,-1.653718452
-2.346284133,-2.126319669,-1.601150151
-2.315925742,-2.041753889,-1.549984848
-2.275150997,-1.962525977,-1.504885673
-2.226877608,-1.892396926,-1.46947864
-2.173530179,-1.835088835,-1.446638086
-2.116774141,-1.793981359,-1.438154357
-2.056787553,-1.771055399,-1.443705823
-1.989234886,-1.583226948,-1.310844608
-1.928601129,-1.574346304,-1.329671333
-1.864216236,-1.582062065,-1.357165788
-1.790384208,-1.60041664,-1.384257162
-1.701277104,-1.62150478,-1.399177858
-1.594580725,-1.638710212,-1.390554795
-1.47403974,-1.649253327,-1.350898783
-1.347688406,-1.653260597,-1.278360481
-1.223656304,-1.651208327,-1.177110634
-1.111532627,-1.647031996,-1.060128991
-1.026014135,-1.652736915,-0.949496858
-0.973731945,-1.674205495,-0.858252701
